Sat.A1Gregorian            Sat.EarthMJ2000Eq.X       Sat.EarthMJ2000Eq.Y       Sat.EarthMJ2000Eq.Z       Sat.EarthMJ2000Eq.VX      Sat.EarthMJ2000Eq.VY      Sat.EarthMJ2000Eq.VZ      
01 Jan 2000 12:00:00.034   6771                      0                         0                         0                         5.5                       5.5                       
01 Jan 2000 12:01:00.034   6755.356873223965         329.7457714531062         329.7457714531062         -0.5212199680533964       5.487294093117319         5.487294093117319         
01 Jan 2000 12:02:00.034   6708.505761660581         657.9683008513283         657.9683008513283         -1.039832835568467        5.449249676519333         5.449249676519333         
01 Jan 2000 12:03:00.034   6630.680879746558         983.1531276442297         983.1531276442297         -1.553250358630569        5.386085915335404         5.386085915335404         
01 Jan 2000 12:04:00.034   6522.270704845481         1303.803267023842         1303.803267023842         -2.058921745930783        5.298165693603378         5.298165693603378         
01 Jan 2000 12:05:00.034   6383.815184505544         1618.447733686945         1618.447733686945         -2.554351738377246        5.185992075455408         5.185992075455408         
01 Jan 2000 12:06:00.034   6216.001880508808         1925.649813238517         1925.649813238517         -3.037117930888368        5.050203445190814         5.050203445190814         
01 Jan 2000 12:07:00.034   6019.661101978922         2224.015004581664         2224.015004581664         -3.504887113348793        4.891567417058014         4.891567417058014         
01 Jan 2000 12:08:00.034   5795.760092502392         2512.198562734517         2512.198562734517         -3.955430431592457        4.710973626577273         4.710973626577273         
01 Jan 2000 12:09:00.034   5545.396347342074         2788.912578771354         2788.912578771354         -4.386637197382286        4.509425532857939         4.509425532857939         
01 Jan 2000 12:10:00.034   5269.790146157602         3052.932541786451         3052.932541786451         -4.796527207658543        4.288031375172054         4.288031375172054         
01 Jan 2000 12:11:00.034   4970.276394036842         3303.10333668765          3303.10333668765          -5.183261466726421        4.047994436777428         4.047994436777428         
01 Jan 2000 12:12:00.034   4648.295868993196         3538.344640993739         3538.344640993739         -5.54515123942399         3.790602774541384         3.790602774541384         
01 Jan 2000 12:13:00.034   4305.385977370415         3757.655693386456         3757.655693386456         -5.880665397559188        3.517218574365716         3.517218574365716         
01 Jan 2000 12:14:00.034   3943.171119858059         3960.119416313234         3960.119416313234         -6.188436055010043        3.229267289966004         3.229267289966005         
01 Jan 2000 12:15:00.034   3563.35277015299          4144.905884226616         4144.905884226617         -6.467262517941783        2.928226716552838         2.928226716552839         
01 Jan 2000 12:16:00.034   3167.699365851824         4311.275137879751         4311.275137879752         -6.716113604849142        2.615616141838935         2.615616141838936         
01 Jan 2000 12:17:00.034   2758.036107112888         4458.579353302627         4458.579353302628         -6.934128415987594        2.292985705068237         2.292985705068237         
01 Jan 2000 12:18:00.034   2336.234753201464         4586.26438152105          4586.264381521051         -7.120615652793293        1.961906080988877         1.961906080988877         
01 Jan 2000 12:19:00.034   1904.203500466378         4693.870681644218         4693.870681644219         -7.275051604861453        1.623958590445896         1.623958590445896         
01 Jan 2000 12:20:00.034   1463.877017836438         4781.033675565885         4781.033675565885         -7.397076934874614        1.280725823116877         1.280725823116877         
01 Jan 2000 12:21:00.034   1017.206707819543         4847.483557160326         4847.483557160327         -7.486492400612493        0.9337828413881362        0.9337828413881364        
01 Jan 2000 12:22:00.034   566.1512524750061         4893.044592500117         4893.044592500118         -7.54325365802825         0.5846890179556969        0.5846890179556969        
01 Jan 2000 12:23:00.034   112.667495135582          4917.633950297783         4917.633950297783         -7.567465290640065        0.2349805438567511        0.2349805438567512        
01 Jan 2000 12:24:00.034   -341.2983000158127        4921.260103520848         4921.260103520849         -7.559374208537891        -0.1138363713534172       -0.1138363713534171       
01 Jan 2000 12:25:00.034   -793.8187768784534        4904.02084401152          4904.020844011521         -7.519362555571623        -0.460291599388418        -0.460291599388418        
01 Jan 2000 12:26:00.034   -1242.993379351632        4866.100952034889         4866.10095203489          -7.447940256225849        -0.8029564975439882       -0.8029564975439882       
01 Jan 2000 12:27:00.034   -1686.95578834509         4807.769562069594         4807.769562069595         -7.345737324762123        -1.140448633046951        -1.140448633046951        
01 Jan 2000 12:28:00.034   -2123.880893039972        4729.377264935247         4729.377264935248         -7.21349604887562         -1.47143585232067         -1.47143585232067         
01 Jan 2000 12:29:00.034   -2551.991291957454        4631.352984616704         4631.352984616705         -7.052063148796624        -1.794639727829906        -1.794639727829906        
01 Jan 2000 12:30:00.034   -2969.563325092811        4514.200665991048         4514.200665991048         -6.862382000859172        -2.108838421395542        -2.108838421395542        
