Sat.A1Gregorian            Sat.EarthMJ2000Eq.X       Sat.EarthMJ2000Eq.Y       Sat.EarthMJ2000Eq.Z       Sat.EarthMJ2000Eq.VX      Sat.EarthMJ2000Eq.VY      Sat.EarthMJ2000Eq.VZ      
01 Jan 2000 12:00:00.034   6771                      0                         0                         0                         5.5                       5.5                       
01 Jan 2000 12:01:00.034   6755.334359926181         329.7453974941936         329.7446652388314         -0.5219691752962915       5.487275569936456         5.487238981896231         
01 Jan 2000 12:02:00.034   6708.416151452844         657.96536140823           657.959513685341          -1.04131654178171         5.449176871155795         5.449030899086709         
01 Jan 2000 12:03:00.034   6630.480898839479         983.1433439265933         983.1236621113046         -1.555439757389637        5.385925239954269         5.385598299252577         
01 Jan 2000 12:04:00.034   6521.91920344004          1303.780442800726         1303.733969336177         -2.061775077625397        5.297887019518214         5.297309526715666         
01 Jan 2000 12:05:00.034   6383.273867245174         1618.403996098109         1618.313677629764         -2.557815922086785        5.185569798626211         5.184674935108571         
01 Jan 2000 12:06:00.034   6215.235926730719         1925.575909103014         1925.420784413672         -3.041130587991515        5.049617260641287         5.048341700748483         
01 Jan 2000 12:07:00.034   6018.639655680439         2223.900633133599         2223.656063473262         -3.509378865817407        4.890802752062887         4.889087346757208         
01 Jan 2000 12:08:00.034   5794.456609434289         2512.032723338268         2511.670662241791         -3.96032734345965         4.710021703895649         4.707812112128487         
01 Jan 2000 12:09:00.034   5543.788794761855         2788.683911130042         2788.173210375154         -4.391863221591472        4.508283058251813         4.505530319242043         
01 Jan 2000 12:10:00.034   5267.861059022219         3052.62963650523          3051.936384491473         -4.802006502575244        4.286699866442097         4.283360907264497         
01 Jan 2000 12:11:00.034   4968.012799294177         3302.714995744783         3301.802884275063         -5.188920456643917        4.046479233118357         4.042517307250764         
01 Jan 2000 12:12:00.034   4645.689096689041         3537.860070583476         3536.690785807233         -5.550920310564846        3.788911783898298         3.784296837656349         
01 Jan 2000 12:13:00.034   4302.43138313515          3757.0646155316           3755.598248662471         -5.886480143987488        3.515360831533361         3.510069796589159         
01 Jan 2000 12:14:00.034   3939.867747676452         3959.41209034964          3957.607563699356         -6.194238015946167        3.227251408700956         3.221268420107377         
01 Jan 2000 12:15:00.034   3559.702986954801         4144.073034450178         4141.888538320719         -6.472999377421522        2.926059324526369         2.919375864821656         
01 Jan 2000 12:16:00.034   3163.7085003028           4310.307789015902         4307.701225058638         -6.721738854665093        2.613300387752497         2.60591535877501          
01 Jan 2000 12:17:00.034   2753.712124055082         4457.468580710604         4454.398007487695         -6.939600511663728        2.290519922912585         2.282439647893697         
01 Jan 2000 12:18:00.034   2331.587992606839         4585.000987903938         4581.425064566266         -7.125896718445198        1.959282687759908         1.95052084707079          
