time		x_position		y_position		z_position		x_velocity		y_velocity		z_velocity
0.0 149600000.0 0.0 0.0 0.0 29.799999999999997 0.0
12611.261126112611 149599528.30189478 375815.1865679802 0.0 -0.07480581871378408 29.79990603874664 0.0
25222.522252225222 149598113.21056035 751628.0031986643 0.0 -0.14961116463784563 29.79962415558308 0.0
37833.78337833783 149595754.7349405 1127436.079969802 0.0 -0.2244155649854903 29.799154352298817 0.0
50445.044504450445 149592452.8899412 1503237.0469892323 0.0 -0.29921854697607997 29.79849663187638 0.0
63056.30563056306 149588207.69643095 1879028.5344099316 0.0 -0.37401963783806064 29.797650998491257 0.0
75667.56675667566 149583019.18124026 2254808.1724450565 0.0 -0.4488183648119907 29.796617457511882 0.0
88278.82788278828 149576887.37716177 2630573.5913829873 0.0 -0.5236142551535687 29.79539601549962 0.0
100890.08900890089 149569812.3229498 3006322.4216023753 0.0 -0.5984068361366608 29.7939866802087 0.0
113501.3501350135 149561794.06332028 3382052.2935871817 0.0 -0.6731956350563295 29.792389460586186 0.0
126112.61126112612 149552832.64895037 3757760.837941724 0.0 -0.7479801792318598 29.790604366771884 0.0
138723.87238723872 149542928.13647822 4133445.6854057154 0.0 -0.8227599960097876 29.78863141009831 0.0
151335.13351335132 149532080.5885024 4509104.466869309 0.0 -0.8975346127669265 29.78647060309061 0.0
163946.39463946395 149520290.0735818 4884734.8133881325 0.0 -0.9723035569133948 29.784121959466464 0.0
176557.65576557655 149507556.66623503 5260334.3561983295 0.0 -1.0470663558956426 29.781585494136014 0.0
189168.91689168918 149493880.4469398 5635900.726731606 0.0 -1.1218225371994774 29.778861223201748 0.0
201780.17801780178 149479261.5021327 6011431.556630246 0.0 -1.1965716283530918 29.775949163958412 0.0
214391.43914391438 149463699.9242085 6386924.477762171 0.0 -1.2713131569300882 29.77284933489289 0.0
227002.700270027 149447195.8115195 6762377.122235953 0.0 -1.3460466505525046 29.769561755684084 0.0
239613.9613961396 149429749.26837495 7137787.122415864 0.0 -1.420771636893841 29.766086447202778 0.0
252225.22252225224 149411360.40504047 7513152.110936889 0.0 -1.4954876436820832 29.76242343151153 0.0
264836.48364836484 149392029.33773714 7888469.720719771 0.0 -1.5701941987027281 29.75857273186448 0.0
277447.74477447744 149371756.1886411 8263737.584986026 0.0 -1.6448908298018075 29.754534372707248 0.0
290059.00590059004 149350541.08588234 8638953.337272974 0.0 -1.7195770648889122 29.750308379676742 0.0
302670.26702670264 149328384.1635441 9014114.611448757 0.0 -1.7942524319402153 29.74589477960101 0.0
315281.5281528153 149305285.56166214 9389219.041727368 0.0 -1.8689164590014957 29.741293600499052 0.0
327892.7892789279 149281245.4262236 9764264.262683656 0.0 -1.943568674191159 29.736504871580646 0.0
340504.0504050405 149256263.90916622 10139247.909268357 0.0 -2.0182086057032618 29.73152862324615 0.0
353115.3115311531 149230341.16837725 10514167.616823096 0.0 -2.092835781810531 29.726364887086312 0.0
365726.57265726576 149203477.36769253 10889021.021095404 0.0 -2.167449730867386 29.721013695882053 0.0
378337.83378337836 149175672.67689547 11263805.758253723 0.0 -2.24204998131296 29.715475083604275 0.0
390949.09490949096 149146927.27171585 11638519.464902416 0.0 -2.3166360616741164 29.70974908541362 0.0
403560.35603560356 149117241.33382878 12013159.778096762 0.0 -2.3912075005684716 29.70383573766023 0.0
416171.6171617162 149086615.05085343 12387724.335357966 0.0 -2.4657638267074122 29.697735077883554 0.0
428782.87828782876 149055048.61635202 12762210.774688149 0.0 -2.540304568899113 29.691447144812052 0.0
441394.1394139414 149022542.2298284 13136616.73458534 0.0 -2.6148292560515545 29.684971978362984 0.0
454005.400540054 148989096.09672686 13510939.85405847 0.0 -2.6893374171755404 29.678309619642118 0.0
466616.6616661667 148954710.42843083 13885177.772642365 0.0 -2.7638285813877106 29.67146011094349 0.0
479227.9227922792 148919385.4422614 14259328.130412715 0.0 -2.83830227791356 29.664423495749094 0.0
491839.1839183918 148883121.36147603 14633388.568001067 0.0 -2.9127580360904517 29.657199818728646 0.0
504450.4450445045 148845918.41526723 15007356.726609798 0.0 -2.9871953853706303 29.649789125739243 0.0
517061.706170617 148807776.83876085 15381230.248027086 0.0 -3.0616138553242354 29.64219146382511 0.0
529672.9672967297 148768696.87301478 15755006.774641875 0.0 -3.136012975642314 29.634406881217252 0.0
542284.2284228423 148728678.76501715 16128683.949458849 0.0 -3.2103922761398307 29.626435427333167 0.0
554895.4895489549 148687722.76768515 16502259.41611339 0.0 -3.2847512867586803 29.618277152776518 0.0
567506.7506750675 148645829.13986304 16875730.81888653 0.0 -3.359089537570695 29.609932109336793 0.0
580118.0118011801 148602998.1463206 17249095.80271991 0.0 -3.433406558780656 29.601400349988985 0.0
592729.2729272927 148559230.05775166 17622352.013230726 0.0 -3.5077018807292992 29.592681928893228 0.0
605340.5340534053 148514525.15077192 17995497.09672667 0.0 -3.581975033896324 29.583776901394465 0.0
617951.7951795179 148468883.70791757 18368528.700220875 0.0 -3.656225548903397 29.574685324022067 0.0
630563.0563056306 148422306.01764336 18741444.47144685 0.0 -3.73045295651716 29.56540725448948 0.0
643174.3174317433 148374792.37432072 19114242.058873404 0.0 -3.8046567876522306 29.55594275169383 0.0
655785.5785578558 148326343.07823578 19486919.111719575 0.0 -3.878836573374211 29.546291875715575 0.0
668396.8396839685 148276958.4355877 19859473.27996955 0.0 -3.9529918449026824 29.53645468781807 0.0
681008.100810081 148226638.75848654 20231902.214387584 0.0 -4.027122133614214 29.526431250447192 0.0
