Sat.A1Gregorian            Sat.EarthMJ2000Eq.X       Sat.EarthMJ2000Eq.Y       Sat.EarthMJ2000Eq.Z       Sat.EarthMJ2000Eq.VX      Sat.EarthMJ2000Eq.VY      Sat.EarthMJ2000Eq.VZ      
01 Jan 2000 12:00:00.034   6771                      0                         0                         0                         5.5                       5.5                       
01 Jan 2000 12:01:00.034   6755.334359925479         329.7453974941823         329.7446652387972         -0.5219691753196791       5.487275569935885         5.487238981894518         
01 Jan 2000 12:02:00.034   6708.416151450047         657.9653614081392         657.9595136850678         -1.041316541828027        5.449176871153538         5.449030899079896         
01 Jan 2000 12:03:00.034   6630.480898833236         983.1433439262898         983.1236621103873         -1.555439757457986        5.385925239949277         5.38559829923738          
01 Jan 2000 12:04:00.034   6521.919203429067         1303.780442800017         1303.733969334018         -2.061775077714477        5.297887019509544         5.297309526688969         
01 Jan 2000 12:05:00.034   6383.273867228276         1618.403996096749         1618.313677625586         -2.55781592219494         5.185569798613064         5.184674935067488         
01 Jan 2000 12:06:00.034   6215.235926706809         1925.575909100714         1925.42078440653          -3.0411305881168          5.049617260623027         5.048341700690399         
01 Jan 2000 12:07:00.034   6018.639655648551         2223.900633130038         2223.656063462067         -3.509378865957657        4.890802752039056         4.889087346679816         
01 Jan 2000 12:08:00.034   5794.456609393594         2512.032723333104         2511.670662225323         -3.960327343612556        4.710021703865971         4.707812112029812         
01 Jan 2000 12:09:00.034   5543.788794711664         2788.683911122918         2788.173210352086         -4.391863221754658        4.508283058216187         4.505530319120449         
01 Jan 2000 12:10:00.034   5267.861058961989         3052.629636495791         3051.936384460389         -4.802006502746342        4.28669986640057          4.283360907118682         
01 Jan 2000 12:11:00.034   4968.012799223501         3302.714995732679         3301.802884234478         -5.188920456820627        4.046479233071094         4.04251730707974          
01 Jan 2000 12:12:00.034   4645.689096607649         3537.860070568371         3536.690785755612         -5.550920310744994        3.788911783845546         3.784296837459422         
01 Jan 2000 12:13:00.034   4302.431383042897         3757.064615513173         3755.598248598246         -5.886480144169058        3.515360831475404         3.510069796365883         
01 Jan 2000 12:14:00.034   3939.867747573309         3959.412090327586         3957.607563620938         -6.19423801612733         3.227251408638065         3.221268419857521         
01 Jan 2000 12:15:00.034   3559.702986840842         4144.073034424207         4141.88853822651          -6.472999377600642        2.926059324458755         2.919375864545157         
01 Jan 2000 12:16:00.034   3163.708500178192         4310.307788985736         4307.701224947041         -6.721738854840714        2.61330038768026          2.605915358471929         
01 Jan 2000 12:17:00.034   2753.712123920075         4457.468580675963         4454.398007357118         -6.939600511834555        2.290519922835677         2.282439647564175         
01 Jan 2000 12:18:00.034   2331.587992461756         4585.000987864537         4581.425064415129         -7.125896718610045        1.959282687678093         1.950520846715015         
01 Jan 2000 12:19:00.034   1899.246505575328         4692.444816217772         4688.323240308177         -7.280105765079457        1.621163281264703         1.61174078556689          
01 Jan 2000 12:20:00.034   1458.624472850192         4779.434415303602         4774.72835170794          -7.401868368059058        1.277737113210874         1.267681920036315         
01 Jan 2000 12:21:00.034   1011.67549714444          4845.698471536419         4840.37096804985          -7.490983222408339        0.9305719863249673        0.9199188621800153        
01 Jan 2000 12:22:00.034   560.3606498827907         4891.059315396821         4885.075703076606         -7.547401746423162        0.5812203276055369        0.5700105636389357        
01 Jan 2000 12:23:00.034   106.6394821407145         4915.431782479026         4908.76005751615          -7.571222167355157        0.2312120868096344        0.2194931719996057        
01 Jan 2000 12:24:00.034   -347.5385930977801        4918.821668640259         4911.432853490336         -7.562683085843506        -0.1179516922644653       -0.1301264347654758       
01 Jan 2000 12:25:00.034   -800.242520180107         4901.32381945934          4893.192301181381         -7.522156648793595        -0.4648046348436708       -0.477376442922797        
